# eta_spectral_density_SrTiO3.csv - produced by scripts/audit_eta_assembly.py
# mode-resolved eta_xyxy contribution binned by BARE omega0 (25 cm-1 bins), T = 300 K,
# generation-3 assembly (see data/processed/reports/eta_SrTiO3_stageC.md);
# total eta = 3.8868e-03 Pa s; negative omega0 = bare-imaginary (formerly unstable) manifold.
omega0_lo_cm1,omega0_hi_cm1,eta_routeS_Pas,eta_routeH_stable_Pas,eta_routeH_unstable_Pas,eta_gamma_sector_Pas
-100,-75,0.000000e+00,0.000000e+00,2.596747e-05,5.285103e-06
-75,-50,0.000000e+00,0.000000e+00,7.930708e-05,0.000000e+00
-50,-25,0.000000e+00,0.000000e+00,1.186791e-06,0.000000e+00
-25,0,0.000000e+00,0.000000e+00,2.077294e-05,0.000000e+00
0,25,0.000000e+00,9.722965e-05,0.000000e+00,0.000000e+00
25,50,0.000000e+00,4.764518e-04,0.000000e+00,0.000000e+00
50,75,0.000000e+00,5.853280e-04,0.000000e+00,0.000000e+00
75,100,0.000000e+00,6.259440e-04,0.000000e+00,0.000000e+00
100,125,0.000000e+00,1.360667e-03,0.000000e+00,0.000000e+00
125,150,0.000000e+00,1.360189e-04,0.000000e+00,0.000000e+00
150,175,0.000000e+00,2.175662e-04,0.000000e+00,0.000000e+00
175,200,1.229533e-04,0.000000e+00,0.000000e+00,0.000000e+00
200,225,2.254913e-05,0.000000e+00,0.000000e+00,0.000000e+00
225,250,5.088290e-05,0.000000e+00,0.000000e+00,0.000000e+00
250,275,1.579024e-05,0.000000e+00,0.000000e+00,0.000000e+00
275,300,2.780609e-06,0.000000e+00,0.000000e+00,0.000000e+00
300,325,1.255814e-05,0.000000e+00,0.000000e+00,0.000000e+00
325,350,5.577635e-06,0.000000e+00,0.000000e+00,0.000000e+00
350,375,1.391213e-06,0.000000e+00,0.000000e+00,0.000000e+00
375,400,1.928084e-06,0.000000e+00,0.000000e+00,0.000000e+00
400,425,2.049160e-06,0.000000e+00,0.000000e+00,0.000000e+00
425,450,2.856847e-06,0.000000e+00,0.000000e+00,0.000000e+00
450,475,3.673381e-06,0.000000e+00,0.000000e+00,0.000000e+00
475,500,2.145008e-06,0.000000e+00,0.000000e+00,0.000000e+00
500,525,5.585181e-06,0.000000e+00,0.000000e+00,0.000000e+00
525,550,1.957829e-06,0.000000e+00,0.000000e+00,0.000000e+00
550,575,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
575,600,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
600,625,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
625,650,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
650,675,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
675,700,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
700,725,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
725,750,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
750,775,2.477179e-07,0.000000e+00,0.000000e+00,0.000000e+00
775,800,1.002131e-07,0.000000e+00,0.000000e+00,0.000000e+00
800,825,7.004164e-08,0.000000e+00,0.000000e+00,0.000000e+00
825,850,5.194641e-09,0.000000e+00,0.000000e+00,0.000000e+00
850,875,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
875,900,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
