# harmonic_dispersion_BaTiO3.csv - produced by scripts/parse_qe_phonons.py
# sources: matdyn.x along Gamma-X-M-Gamma-R-X, q in 2*pi/a units, one block
#   per functional present under dft/qe/<material>/
# omega_cm1 < 0 denotes an imaginary (unstable) harmonic mode
functional,path_index,qx,qy,qz,path_coord,segment,branch,omega_cm1,omega_thz
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,1,-244.8231,-7.339612
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,2,-244.8231,-7.339612
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,3,-0.0000,-0.000000
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,4,-0.0000,-0.000000
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,5,0.0000,0.000000
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,6,157.1300,4.710639
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,7,166.6073,4.994761
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,8,166.6073,4.994761
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,9,281.4617,8.438009
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,10,281.4617,8.438009
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,11,281.4617,8.438009
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,12,445.3824,13.352228
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,13,453.1695,13.585680
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,14,453.1695,13.585680
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,15,629.3631,18.867831
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,1,-244.7601,-7.337723
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,2,-244.7601,-7.337723
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,3,4.6464,0.139296
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,4,4.6464,0.139296
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,5,7.2343,0.216879
