# harmonic_dispersion_SrTiO3.csv - produced by scripts/parse_qe_phonons.py
# sources: matdyn.x along Gamma-X-M-Gamma-R-X, q in 2*pi/a units, one block
#   per functional present under dft/qe/<material>/
# omega_cm1 < 0 denotes an imaginary (unstable) harmonic mode
functional,path_index,qx,qy,qz,path_coord,segment,branch,omega_cm1,omega_thz
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,1,-137.7105,-4.128457
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,2,-137.7105,-4.128457
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,3,-0.0000,-0.000000
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,4,0.0000,0.000000
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,5,0.0000,0.000000
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,6,145.2670,4.354995
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,7,145.8956,4.373840
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,8,145.8956,4.373840
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,9,230.8330,6.920199
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,10,230.8330,6.920199
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,11,230.8330,6.920199
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,12,445.1215,13.344407
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,13,509.5477,15.275856
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,14,509.5477,15.275856
pbe,0,0.000000,0.000000,0.000000,0.000000,Gamma-X,15,734.7595,22.027536
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,1,-137.5250,-4.122896
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,2,-137.5250,-4.122896
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,3,4.9141,0.147321
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,4,4.9141,0.147321
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,5,8.4647,0.253765
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,6,145.4757,4.361252
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,7,145.8749,4.373219
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,8,145.8749,4.373219
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,9,230.9136,6.922616
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,10,230.9247,6.922948
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,11,230.9247,6.922948
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,12,445.2121,13.347123
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,13,509.5128,15.274809
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,14,509.5128,15.274809
pbe,1,0.012500,0.000000,0.000000,0.012500,Gamma-X,15,734.7641,22.027674
pbe,2,0.025000,0.000000,0.000000,0.025000,Gamma-X,1,-136.9711,-4.106290
