# ins_reference_points_SrTiO3.csv - assembled 2026-07-15 from pre-digitized data
# source: Vogt, Phys. Rev. B 51, 8046 (1995), Fig. 6 (hyper-Raman, zone-center soft mode)
# digitization: WebPlotDigitizer CSVs from ferroelectric-ins-ml qe/anchoring/vogt1995_fig6/
# NOTE: Vogt 1995 prints no numeric frequencies for stable optic branches (TO2, TO4,
#   F2u, LO); it anchors ONLY the renormalized soft mode. The harmonic soft mode is
#   imaginary, so these points validate renormalized (Route H) frequencies, not the
#   bare harmonic dispersion. Uncertainty ~ +/-0.15 meV (source README).
# derived 300 K anchor: omega_s = 89.24 cm-1 (11.06 meV); gamma_full = 23.0 cm-1
#   -> Gamma_HWHM = 11.5 cm-1 (convention FULL_GAMMA_CONFIRMED, Vogt Eq. (13))
# STABLE-BRANCH ANCHORS added 2026-07-15 (Gate G1 resolution item 4):
#   Servoin, Luspin, Gervais, Phys. Rev. B 22, 5501 (1980) [IR, 297 K] and
#   Stirling, J. Phys. C 5, 2711 (1972) [INS, 297 K]. Values as tabulated with
#   per-value attribution in Evarestov et al., arXiv:1008.4003, Tables 4-5;
#   page-check the originals before manuscript use. Soft modes (TO1 at Gamma,
#   R4+ AFD) are renormalized experimental values - the harmonic counterparts
#   are imaginary and not directly comparable.
mode_label,q_label,qx,qy,qz,value,unit,temperature_K,provenance
TO1_soft_F1u_omega,Gamma,0,0,0,46.50,cm-1,109.8,"Vogt PRB 51 8046 (1995) Fig. 6; WebPlotDigitizer (ferroelectric-ins-ml qe/anchoring); cubic phase only"
TO1_soft_F1u_omega,Gamma,0,0,0,50.24,cm-1,121.3,"Vogt PRB 51 8046 (1995) Fig. 6; WebPlotDigitizer (ferroelectric-ins-ml qe/anchoring); cubic phase only"
TO1_soft_F1u_omega,Gamma,0,0,0,53.15,cm-1,130.7,"Vogt PRB 51 8046 (1995) Fig. 6; WebPlotDigitizer (ferroelectric-ins-ml qe/anchoring); cubic phase only"
TO1_soft_F1u_omega,Gamma,0,0,0,56.27,cm-1,142.2,"Vogt PRB 51 8046 (1995) Fig. 6; WebPlotDigitizer (ferroelectric-ins-ml qe/anchoring); cubic phase only"
TO1_soft_F1u_omega,Gamma,0,0,0,58.76,cm-1,150.5,"Vogt PRB 51 8046 (1995) Fig. 6; WebPlotDigitizer (ferroelectric-ins-ml qe/anchoring); cubic phase only"
TO1_soft_F1u_omega,Gamma,0,0,0,61.67,cm-1,162.0,"Vogt PRB 51 8046 (1995) Fig. 6; WebPlotDigitizer (ferroelectric-ins-ml qe/anchoring); cubic phase only"
TO1_soft_F1u_omega,Gamma,0,0,0,64.58,cm-1,172.5,"Vogt PRB 51 8046 (1995) Fig. 6; WebPlotDigitizer (ferroelectric-ins-ml qe/anchoring); cubic phase only"
TO1_soft_F1u_omega,Gamma,0,0,0,66.46,cm-1,181.9,"Vogt PRB 51 8046 (1995) Fig. 6; WebPlotDigitizer (ferroelectric-ins-ml qe/anchoring); cubic phase only"
TO1_soft_F1u_omega,Gamma,0,0,0,69.16,cm-1,192.3,"Vogt PRB 51 8046 (1995) Fig. 6; WebPlotDigitizer (ferroelectric-ins-ml qe/anchoring); cubic phase only"
TO1_soft_F1u_omega,Gamma,0,0,0,70.83,cm-1,200.7,"Vogt PRB 51 8046 (1995) Fig. 6; WebPlotDigitizer (ferroelectric-ins-ml qe/anchoring); cubic phase only"
