# instability_map.csv - produced by scripts/instability_map.py
# harmonic modes with omega^2 < 0 at high-symmetry points (|omega| in cm^-1;
#   degeneracy = number of imaginary branches at that point; NAC direction (1,0,0)
#   splits the Gamma triplet into doublet + hardened LO partner)
# unstable regions along the full path (index/40 = fraction of segment):
#   SrTiO3 [pbe]: unstable path regions: Gamma..X-M[6/40]; X-M[39/40]..M-Gamma[1/40]; M-Gamma[18/40]..Gamma-R[9/40]; Gamma-R[34/40]..R-X[9/40]; R-X[39/40]..X
#   SrTiO3 [pbesol]: unstable path regions: Gamma..Gamma-X[16/40]; X-M[36/40]..M-Gamma[2/40]; M-Gamma[29/40]..Gamma-R[6/40]; Gamma-R[33/40]..R-X[10/40]
#   BaTiO3 [pbe]: unstable path regions: Gamma..Gamma-R[15/40]; R-X[26/40]..X
#   BaTiO3 [pbesol]: unstable path regions: Gamma..Gamma-R[12/40]; R-X[30/40]..X
material,functional,q_label,qx,qy,qz,degeneracy,abs_omega_cm1,irrep
SrTiO3,pbe,Gamma,0.0,0.0,0.0,2,137.7,"Gamma15 (F1u, FE)"
SrTiO3,pbe,X,0.5,0.0,0.0,2,30.7,X5 (FE branch)
SrTiO3,pbe,M,0.5,0.5,0.0,1,13.5,"M3 (AFD, in-phase rotation)"
SrTiO3,pbe,R,0.5,0.5,0.5,3,76.3,R25 (AFD rotation)
SrTiO3,pbesol,Gamma,0.0,0.0,0.0,2,79.5,"Gamma15 (F1u, FE)"
SrTiO3,pbesol,M,0.5,0.5,0.0,1,32.7,"M3 (AFD, in-phase rotation)"
SrTiO3,pbesol,R,0.5,0.5,0.5,3,86.6,R25 (AFD rotation)
BaTiO3,pbe,Gamma,0.0,0.0,0.0,2,244.8,"Gamma15 (F1u, FE)"
BaTiO3,pbe,X,0.5,0.0,0.0,2,214.6,X5 (FE chain branch)
BaTiO3,pbe,M,0.5,0.5,0.0,1,190.3,M3' (FE chain branch)
BaTiO3,pbesol,Gamma,0.0,0.0,0.0,2,193.5,"Gamma15 (F1u, FE)"
BaTiO3,pbesol,X,0.5,0.0,0.0,2,154.0,X5 (FE chain branch)
BaTiO3,pbesol,M,0.5,0.5,0.0,1,128.3,M3' (FE chain branch)
