# nonlinearity_BaTiO3.csv - produced by scripts/check_shear_nonlinearity.py
# (A5' scope cut, 2026-07-18; q-convention + degenerate-pairing fixed 2026-07-20,
# see G1' incident log in data/processed/reports/GATE_1p.md)
# BZ-weighted <gamma_xy>=0.000537 rms(gamma_xy)=1.417241 |<gamma_xy>|/rms=0.000379 (pass)
# off-grid 11^3: non-degenerate 17967 stable, 6659 flagged (37.1%); degenerate 933 stable, 478 flagged (51.2%)
# on-grid 4^3 (exact): non-degenerate 626 stable, 227 flagged (36.3%); degenerate 284 stable, 126 flagged (44.4%)
# eta_44 sensitivity @ 300K: Delta_eta/eta = +0.1045(+)/+0.0931(-), worst=0.1045
# DECISION (omega-space): FAIL
# omega^2 basis: BZ <gamma_omega2>=0.000564 rms=1.410568 |mean|/rms=0.000400; on-grid non-degenerate flag rate=24.1%; eta_44 sensitivity worst=0.3951
# DECISION (omega^2-space, task 2 criteria): FAIL
q_index,qx,qy,qz,branch,omega_ref_cm1,gamma_xy,a1_linear,a2_curvature,curvature_over_rms_gamma,D_domega2,b2_curvature_omega2,gamma_omega2,a2_pred_sqrt,unstable_flag,degenerate_flag,flag_gt_threshold
0,0.000000,0.000000,0.000000,1,-193.5323,-1.5862,-306.9805,68603.8600,1.2506,-117768.2710,26342223.8921,nan,nan,1,1,0
0,0.000000,0.000000,0.000000,2,-193.5323,1.5683,303.5151,70612.3800,1.2872,116408.3437,27114775.9565,nan,nan,1,1,0
0,0.000000,0.000000,0.000000,3,-0.0000,102933.3333,0.6176,-46347.0400,27251922.7621,1.4312,-53702.1405,nan,nan,1,1,0
0,0.000000,0.000000,0.000000,4,0.0000,-330300.0000,0.6606,-46343.5200,81749559.0374,1.5307,-53693.2972,-191340477899.9955,-36611178482998680.0000,1,1,0
0,0.000000,0.000000,0.000000,5,0.0000,-533.3333,0.0016,-0.1200,141.1193,0.0000,-0.0000,-711.1111,-0.7585,1,1,0
0,0.000000,0.000000,0.000000,6,169.0792,0.0203,-3.4397,-4630.9400,0.0966,-1162.3672,-1565443.5393,0.0203,-0.0349,0,0,0
0,0.000000,0.000000,0.000000,7,175.3433,4.9689,-871.2584,-5560.2800,0.1119,-305296.5024,-1190052.0713,4.9649,-2161.1545,0,1,1
0,0.000000,0.000000,0.000000,8,175.3433,-4.9700,871.4540,-5674.4000,0.1142,305360.0698,-1229699.5092,-4.9660,-2162.0545,0,1,1
0,0.000000,0.000000,0.000000,9,282.8345,0.3831,-108.3663,-840.6200,0.0105,-61294.8914,-463751.6731,0.3831,-20.7569,0,1,0
0,0.000000,0.000000,0.000000,10,282.8345,-0.0001,0.0423,-2463.7400,0.0307,23.9226,-1393509.3534,-0.0001,-0.0000,0,1,0
0,0.000000,0.000000,0.000000,11,282.8345,-0.3851,108.9227,-1538.5000,0.0192,61605.8055,-858358.2797,-0.3851,-20.9680,0,1,0
0,0.000000,0.000000,0.000000,12,450.1869,-0.0060,2.7189,-5901.1000,0.0462,2447.2240,-5312317.6754,-0.0060,-0.0082,0,0,0
0,0.000000,0.000000,0.000000,13,466.0300,1.7097,-796.7576,19886.2000,0.1505,-743418.1175,19179840.8882,1.7115,-682.5503,0,1,1
0,0.000000,0.000000,0.000000,14,466.0300,-1.7091,796.4796,19378.2000,0.1467,743138.4978,18705412.8274,-1.7109,-682.0369,0,1,1
0,0.000000,0.000000,0.000000,15,659.5816,-0.0095,6.2394,38107.1600,0.2038,8242.6749,50305904.1206,-0.0095,-0.0296,0,0,1
1,0.000000,0.000000,0.090900,1,-189.0565,-1.7441,-329.7341,62246.3800,1.1616,-123650.4804,23330569.6330,nan,nan,1,1,0
1,0.000000,0.000000,0.090900,2,-189.0565,1.7363,328.2578,66175.5600,1.2349,123032.3778,24804599.8636,nan,nan,1,1,0
1,0.000000,0.000000,0.090900,3,33.8784,0.8827,-29.9037,-1614.2200,0.1681,-2023.7639,-108414.9238,0.8816,-13.1662,0,1,1
1,0.000000,0.000000,0.090900,4,33.8784,-0.8444,28.6082,-5684.2400,0.5919,1930.2678,-383519.4235,-0.8409,-11.9778,0,1,1
1,0.000000,0.000000,0.090900,5,53.1630,-0.0515,2.7401,-5305.9800,0.3521,290.6171,-563452.5298,-0.0514,-0.0703,0,0,1
1,0.000000,0.000000,0.090900,6,176.2719,4.6909,-826.8680,-3703.0400,0.0741,-291354.1253,-621430.4466,4.6884,-1937.3271,0,1,0
1,0.000000,0.000000,0.090900,7,176.2719,-4.6902,826.7438,-4893.2800,0.0979,291261.1612,-1040991.8156,-4.6869,-1936.0909,0,1,0
1,0.000000,0.000000,0.090900,8,178.9186,0.0056,-1.0074,-3304.2800,0.0652,-360.3189,-1182120.6357,0.0056,-0.0028,0,0,0
1,0.000000,0.000000,0.090900,9,286.5259,0.2753,-78.8942,-7606.3600,0.0937,-45180.4649,-4351168.2006,0.2752,-10.8472,0,1,0
1,0.000000,0.000000,0.090900,10,286.5259,-0.2789,79.9242,-8259.1200,0.1017,45767.7080,-4724811.0553,-0.2787,-11.1311,0,1,1
1,0.000000,0.000000,0.090900,11,286.9612,-0.0009,0.2693,-2173.3000,0.0267,154.5281,-1247187.5246,-0.0009,-0.0001,0,1,0
1,0.000000,0.000000,0.090900,12,455.3434,-0.0054,2.4582,-6896.0800,0.0534,2237.8029,-6278974.7215,-0.0054,-0.0066,0,0,0
1,0.000000,0.000000,0.090900,13,464.2407,1.7410,-808.2619,16663.3000,0.1266,-751129.4962,16131791.8177,1.7426,-704.8718,0,1,1
1,0.000000,0.000000,0.090900,14,464.2407,-1.7408,808.1702,16000.4400,0.1216,751017.4929,15515649.1720,-1.7423,-704.6616,0,1,1
1,0.000000,0.000000,0.090900,15,660.5886,-0.0067,4.3982,28927.8400,0.1545,5817.1631,38239742.6692,-0.0067,-0.0147,0,0,1
2,0.000000,0.000000,0.181800,1,-178.3071,-2.1294,-379.6808,45157.7600,0.8935,-134542.2842,15908759.9125,nan,nan,1,1,0
2,0.000000,0.000000,0.181800,2,-178.3071,2.1353,380.7365,52137.7800,1.0316,134783.5008,18380153.1981,nan,nan,1,1,0
2,0.000000,0.000000,0.181800,3,65.1289,1.4961,-97.4365,-2033.5000,0.1102,-12681.9528,-255281.8932,1.4949,-72.7715,0,1,1
2,0.000000,0.000000,0.181800,4,65.1289,-1.4814,96.4801,-5706.1400,0.3091,12539.7547,-733146.5699,-1.4781,-71.1488,0,1,1
2,0.000000,0.000000,0.181800,5,95.1666,-0.0153,1.4574,-4404.5600,0.1633,277.0706,-837846.8276,-0.0153,-0.0111,0,0,1
2,0.000000,0.000000,0.181800,6,179.5553,3.7628,-675.6306,167.9600,0.0033,-242631.8003,516793.6333,3.7629,-1271.1906,0,1,0
2,0.000000,0.000000,0.181800,7,179.5553,-3.7614,675.3869,-2551.1400,0.0501,242452.4608,-459831.3047,-3.7601,-1269.3121,0,1,0
2,0.000000,0.000000,0.181800,8,205.0162,-0.0189,3.8734,-2482.3600,0.0427,1587.7388,-1017679.0370,-0.0189,-0.0366,0,0,0
2,0.000000,0.000000,0.181800,9,296.6278,0.0818,-24.2557,-19087.8600,0.2270,-14366.6800,-11314282.5326,0.0816,-0.9885,0,1,1
2,0.000000,0.000000,0.181800,10,296.6278,-0.0876,25.9962,-18651.0400,0.2218,15398.1480,-11055461.2927,-0.0875,-1.1356,0,1,1
2,0.000000,0.000000,0.181800,11,297.3082,-0.0025,0.7295,-1571.6600,0.0186,433.7154,-934472.5828,-0.0025,-0.0009,0,0,0
2,0.000000,0.000000,0.181800,12,458.9859,1.8479,-848.1565,9437.8200,0.0725,-778984.0169,9385249.2129,1.8488,-784.4568,0,1,0
2,0.000000,0.000000,0.181800,13,458.9859,-1.8489,848.6018,8777.7200,0.0675,779364.9918,8779750.9685,-1.8497,-785.2243,0,1,0
2,0.000000,0.000000,0.181800,14,469.0314,-0.0042,1.9695,-5979.0600,0.0450,1846.9257,-5607835.5711,-0.0042,-0.0041,0,0,0
2,0.000000,0.000000,0.181800,15,662.5198,-0.0010,0.6336,7946.6400,0.0423,839.7968,10531191.8156,-0.0010,-0.0003,0,0,0
3,0.000000,0.000000,0.272700,1,-166.8609,-2.5686,-428.6002,27025.4800,0.5714,-142454.0988,8817035.8533,nan,nan,1,1,0
3,0.000000,0.000000,0.272700,2,-166.8609,2.5532,426.0237,32057.6200,0.6778,141490.5554,10491140.0415,nan,nan,1,1,0
3,0.000000,0.000000,0.272700,3,89.2165,2.6265,-234.3247,-4133.2200,0.1634,-41762.8512,-682168.0057,2.6234,-307.0112,0,1,1
3,0.000000,0.000000,0.272700,4,89.2165,-2.6300,234.6393,-4422.2600,0.1749,41815.5302,-733532.9440,-2.6267,-307.7862,0,1,1
3,0.000000,0.000000,0.272700,5,123.7289,0.0044,-0.5474,-189.0800,0.0054,-135.4533,-46788.1429,0.0044,-0.0012,0,0,0
3,0.000000,0.000000,0.272700,6,185.9930,2.1981,-408.8268,77.1600,0.0015,-152079.4225,195841.9408,2.1981,-449.3256,0,1,0
3,0.000000,0.000000,0.272700,7,185.9930,-2.2019,409.5376,435.6800,0.0083,152351.1742,329792.6508,-2.2020,-450.9328,0,1,0
3,0.000000,0.000000,0.272700,8,236.4258,-0.0223,5.2775,-3092.2600,0.0461,2494.6583,-1461913.1848,-0.0223,-0.0589,0,0,0
3,0.000000,0.000000,0.272700,9,309.4064,-0.0034,1.0385,-1159.9000,0.0132,642.5770,-717726.3677,-0.0034,-0.0017,0,0,0
3,0.000000,0.000000,0.272700,10,310.5086,0.6667,-207.0207,-19235.5800,0.2186,-128364.2878,-11893516.4652,0.6657,-68.7983,0,1,1
3,0.000000,0.000000,0.272700,11,310.5086,-0.6726,208.8625,-19310.9400,0.2194,129505.5187,-11939477.7189,-0.6716,-70.0271,0,1,1
3,0.000000,0.000000,0.272700,12,450.8854,2.0505,-924.5630,3216.3600,0.0252,-833892.6155,3755494.9406,2.0509,-948.2694,0,1,0
3,0.000000,0.000000,0.272700,13,450.8854,-2.0533,925.8157,3684.0600,0.0288,835044.1154,4179651.8028,-2.0537,-950.8901,0,1,0
3,0.000000,0.000000,0.272700,14,487.3929,-0.0035,1.7091,-627.2600,0.0045,1665.9527,-611431.3308,-0.0035,-0.0030,0,0,0
3,0.000000,0.000000,0.272700,15,662.8446,0.0028,-1.8257,-9190.9000,0.0489,-2419.4718,-12182162.0315,0.0028,-0.0025,0,0,0
4,0.000000,0.000000,0.363600,1,-158.5864,-2.9399,-466.2274,19468.0000,0.4331,-147420.7990,5947875.9550,nan,nan,1,1,0
4,0.000000,0.000000,0.363600,2,-158.5864,2.8570,453.0797,15935.1000,0.3545,143343.5391,4842550.0249,nan,nan,1,1,0
4,0.000000,0.000000,0.363600,3,103.1437,3.8359,-395.6533,-3738.2600,0.1279,-81544.3418,-614265.0748,3.8325,-757.4771,0,1,1
4,0.000000,0.000000,0.363600,4,103.1437,-3.8418,396.2582,-2929.1600,0.1002,81685.0426,-447013.7694,-3.8391,-760.0933,0,1,1
4,0.000000,0.000000,0.363600,5,141.8722,0.0049,-0.6939,1215.6200,0.0302,-196.9324,344962.7072,0.0049,-0.0017,0,0,0
4,0.000000,0.000000,0.363600,6,194.2077,0.6703,-130.1804,-8309.7200,0.1510,-50509.9752,-3208949.4299,0.6696,-43.5377,0,1,1
4,0.000000,0.000000,0.363600,7,194.2077,-0.6813,132.3213,1895.3000,0.0344,51408.1611,753762.3092,-0.6815,-45.0998,0,1,0
4,0.000000,0.000000,0.363600,8,261.3945,-0.0102,2.6780,-2077.6000,0.0280,1399.7505,-1086031.1613,-0.0102,-0.0137,0,0,0
4,0.000000,0.000000,0.363600,9,319.2180,-0.0033,1.0617,-1095.2200,0.0121,677.7693,-699196.6603,-0.0033,-0.0018,0,0,0
4,0.000000,0.000000,0.363600,10,324.3633,1.2684,-411.4122,-7971.0800,0.0867,-266730.0916,-5000203.6378,1.2676,-260.5906,0,1,0
4,0.000000,0.000000,0.363600,11,324.3633,-1.2741,413.2797,-8392.8200,0.0913,267932.1295,-5272084.9737,-1.2733,-262.9447,0,1,0
4,0.000000,0.000000,0.363600,12,441.7564,2.3353,-1031.6523,709.8200,0.0057,-911514.7009,1691454.1710,2.3354,-1204.7272,0,1,0
4,0.000000,0.000000,0.363600,13,441.7564,-2.3399,1033.6565,3821.9800,0.0305,913446.3537,4445579.4748,-2.3404,-1209.8386,0,1,0
4,0.000000,0.000000,0.363600,14,505.9333,-0.0024,1.2160,2840.4000,0.0198,1230.6024,2874308.9752,-0.0024,-0.0015,0,0,0
4,0.000000,0.000000,0.363600,15,660.0211,0.0023,-1.5034,-10716.5200,0.0573,-1983.7458,-14143384.4675,0.0023,-0.0017,0,0,0
5,0.000000,0.000000,0.454500,1,-154.4972,-3.1571,-487.7567,20454.5000,0.4671,-150215.2206,6071958.5467,nan,nan,1,1,0
5,0.000000,0.000000,0.454500,2,-154.4972,3.0094,464.9399,8597.1800,0.1963,143463.9408,2438463.0961,nan,nan,1,1,0
5,0.000000,0.000000,0.454500,3,108.7407,4.5149,-490.9555,-1448.3800,0.0470,-106738.1615,-73906.0402,4.5134,-1107.5740,0,1,0
5,0.000000,0.000000,0.454500,4,108.7407,-4.5165,491.1250,-1305.2400,0.0423,106778.5273,-42619.1361,-4.5151,-1108.4119,0,1,0
5,0.000000,0.000000,0.454500,5,150.9878,0.0005,-0.0750,195.8000,0.0046,-22.6489,59127.7764,0.0005,-0.0000,0,0,0
5,0.000000,0.000000,0.454500,6,199.9650,-0.1211,24.2236,-17093.3600,0.3016,9667.0396,-6828254.9458,-0.1209,-1.4609,0,1,1
5,0.000000,0.000000,0.454500,7,199.9650,0.1052,-21.0423,2126.5800,0.0375,-8417.6830,851038.8317,0.1053,-1.1077,0,1,0
5,0.000000,0.000000,0.454500,8,274.4183,-0.0007,0.1939,-51.6200,0.0007,106.4189,-28330.8364,-0.0007,-0.0001,0,0,0
5,0.000000,0.000000,0.454500,9,324.5052,-0.0030,0.9671,-1189.1000,0.0129,627.6004,-771701.9253,-0.0030,-0.0014,0,0,0
5,0.000000,0.000000,0.454500,10,333.4565,1.6633,-554.6411,2857.9000,0.0302,-369976.6608,2213801.8367,1.6637,-461.4673,0,1,0
5,0.000000,0.000000,0.454500,11,333.4565,-1.6703,556.9734,2744.5600,0.0290,371529.2791,2140790.6519,-1.6706,-465.3486,0,1,0
5,0.000000,0.000000,0.454500,12,435.1948,2.5899,-1127.1180,248.2800,0.0020,-981045.8291,1486496.8683,2.5900,-1459.6121,0,1,0
5,0.000000,0.000000,0.454500,13,435.1948,-2.5949,1129.3072,6109.4800,0.0495,983282.2680,6593896.0301,-2.5959,-1466.2744,0,1,0
