# nonlinearity_SrTiO3.csv - produced by scripts/check_shear_nonlinearity.py
# (A5' scope cut, 2026-07-18; q-convention + degenerate-pairing fixed 2026-07-20,
# see G1' incident log in data/processed/reports/GATE_1p.md)
# BZ-weighted <gamma_xy>=0.002054 rms(gamma_xy)=7.434158 |<gamma_xy>|/rms=0.000276 (pass)
# off-grid 11^3: non-degenerate 18385 stable, 2961 flagged (16.1%); degenerate 1443 stable, 390 flagged (27.0%)
# on-grid 4^3 (exact): non-degenerate 683 stable, 99 flagged (14.5%); degenerate 260 stable, 56 flagged (21.5%)
# eta_44 sensitivity @ 300K: Delta_eta/eta = +1.3768(+)/+0.8707(-), worst=1.3768
# DECISION (omega-space): FAIL
# omega^2 basis: BZ <gamma_omega2>=0.036914 rms=5.306441 |mean|/rms=0.006957; on-grid non-degenerate flag rate=27.5%; eta_44 sensitivity worst=21.9234
# DECISION (omega^2-space, task 2 criteria): FAIL
q_index,qx,qy,qz,branch,omega_ref_cm1,gamma_xy,a1_linear,a2_curvature,curvature_over_rms_gamma,D_domega2,b2_curvature_omega2,gamma_omega2,a2_pred_sqrt,unstable_flag,degenerate_flag,flag_gt_threshold
0,0.000000,0.000000,0.000000,1,-79.5015,-19.6518,-1562.3483,216802.2600,1.8341,231482.0565,-30856200.0730,nan,nan,1,1,0
0,0.000000,0.000000,0.000000,2,-79.5015,19.5712,1555.9388,215859.3600,1.8261,-230605.7611,-30736461.7083,nan,nan,1,1,0
0,0.000000,0.000000,0.000000,3,-0.0000,-1000787.5000,-8.0063,-70715.5800,5945157.5117,28.3086,125082.5637,nan,nan,1,1,0
0,0.000000,0.000000,0.000000,4,0.0000,-1005250.0000,8.0420,-70743.7200,5947523.2808,-28.4459,125180.3899,222233758906.2498,-197551374390404672.0000,1,1,0
0,0.000000,0.000000,0.000000,5,0.0000,-92.8571,0.0013,-0.4600,22.0988,0.0000,-0.0000,-16.5816,-0.0019,1,1,0
0,0.000000,0.000000,0.000000,6,154.3253,0.0015,-0.2281,-68003.9800,0.2964,-69.6276,-20873859.8612,0.0015,-0.0002,0,0,1
0,0.000000,0.000000,0.000000,7,158.2383,5.3144,-840.9396,-87118.9200,0.3703,-262474.6902,-26674185.0231,5.2412,-2173.4502,0,1,1
0,0.000000,0.000000,0.000000,8,158.2383,-5.3092,840.1248,-86930.9200,0.3695,262228.2714,-26616875.1717,-5.2363,-2169.3711,0,1,1
0,0.000000,0.000000,0.000000,9,226.6450,2.2919,-519.4386,235.2400,0.0007,-235462.4378,376449.7846,2.2919,-595.2711,0,1,0
0,0.000000,0.000000,0.000000,10,226.6450,-0.0050,1.1301,-5160.9400,0.0153,511.9714,-2338735.3845,-0.0050,-0.0028,0,1,0
0,0.000000,0.000000,0.000000,11,226.6450,-2.3063,522.7181,-483.9000,0.0014,236930.2456,53893.0302,-2.3062,-602.7158,0,1,0
0,0.000000,0.000000,0.000000,12,446.2312,-0.0006,0.2605,-5048.4200,0.0076,232.4207,-4504887.7374,-0.0006,-0.0001,0,0,0
0,0.000000,0.000000,0.000000,13,534.1239,1.6290,-870.0656,39228.5200,0.0494,-931152.3141,42701269.9426,1.6319,-711.2550,0,1,0
0,0.000000,0.000000,0.000000,14,534.1239,-1.6318,871.5570,37920.1600,0.0477,932691.4088,41303691.1277,-1.6346,-713.6082,0,1,0
0,0.000000,0.000000,0.000000,15,767.5465,-0.0004,0.2765,48842.9800,0.0428,425.1285,75038157.7887,-0.0004,-0.0000,0,0,0
1,0.000000,0.000000,0.090900,1,-62.1637,-29.5937,-1839.6543,246235.4600,2.6641,206069.9857,-25713683.1324,nan,nan,1,1,0
1,0.000000,0.000000,0.090900,2,-62.1637,29.5914,1839.5084,249938.6400,2.7042,-205713.0411,-26128691.0244,nan,nan,1,1,0
1,0.000000,0.000000,0.090900,3,39.9410,7.2891,-291.1349,19414.9400,0.3269,-23539.0343,1645085.7889,7.3777,-1087.0055,0,1,1
1,0.000000,0.000000,0.090900,4,39.9410,-7.4683,298.2901,16558.3000,0.2788,24074.9459,1418540.2784,-7.5457,-1137.0645,0,1,1
