# omega0-stratified flag rates and Delta_eta/eta contributions
# omega0_bin_cm1,n_stable,flag_rate_omega_pct,flag_rate_omega2_pct,eta0_share_pct,delta_eta_over_eta_omega_plus_pct,delta_eta_over_eta_omega2_plus_pct
[0,50),36,77.78,100.00,0.5338,0.2560,0.8906
[50,100),748,79.14,90.11,29.0398,3.6852,12.0031
[100,200),4071,66.62,84.77,51.2802,4.4020,18.1335
[200,inf),14045,27.09,47.24,19.1462,2.1079,8.4841

# Route-S/Route-H cutoff scan
# cutoff_cm1,n_above,flag_omega2_above_pct,delta_eta_above_pct,n_below,eta0_below_pct
25,18900,57.12,39.51,0,0.00
50,18864,57.04,38.62,36,0.53
75,18746,56.88,34.48,154,21.45
100,18116,55.67,26.62,784,28.80
125,15210,50.45,14.53,3690,55.64
150,14912,49.56,13.28,3988,71.53
175,14641,48.77,12.46,4259,74.34
200,14045,47.24,8.48,4855,80.66
225,12435,43.42,4.36,6465,86.29
250,11273,39.77,3.02,7627,90.29
275,10073,37.66,2.47,8827,93.37
300,9186,34.39,1.91,9714,94.24
