# omega0-stratified flag rates and Delta_eta/eta contributions
# omega0_bin_cm1,n_stable,flag_rate_omega_pct,flag_rate_omega2_pct,eta0_share_pct,delta_eta_over_eta_omega_plus_pct,delta_eta_over_eta_omega2_plus_pct
[0,50),196,95.92,97.96,92.9796,135.8777,2177.9495
[50,100),1498,59.95,84.11,3.7807,1.1373,9.3664
[100,200),6011,36.35,68.13,2.8688,0.6447,4.8573
[200,inf),12123,0.66,6.99,0.3709,0.0206,0.1629

# Route-S/Route-H cutoff scan
# cutoff_cm1,n_above,flag_omega2_above_pct,delta_eta_above_pct,n_below,eta0_below_pct
25,19756,32.00,24.64,72,64.68
50,19632,31.59,14.39,196,86.16
75,19266,30.49,6.99,562,91.32
100,18134,27.25,5.02,1694,93.63
125,15132,16.12,1.58,4696,97.21
150,14246,12.97,0.74,5582,97.81
175,13053,8.48,0.24,6775,98.86
200,12123,6.99,0.16,7705,99.27
225,11419,6.58,0.14,8409,99.41
250,10258,5.18,0.10,9570,99.65
275,9732,3.89,0.07,10096,99.72
300,9276,3.83,0.07,10552,99.73
