# partition_overlap_shell_SrTiO3.csv - scripts/scan_partition_sensitivity.py
# Per-mode Route S vs Route H comparison over the 150-200 cm-1 shell at 300 K.
# gamma_S = -D/(2*omega0^2); gamma_H = -D/(2*omega_r^2), omega_r from the
# 300 K bare->renormalized eigenvalue map; rel_diff = (gamma_H-gamma_S)/|gamma_S|.
q_index,branch,omega0_cm1,omega_r_cm1,D_cm2,gamma_S,gamma_H,rel_diff
0,6,154.3253,181.3071,-69.6276,0.001462,0.001059,-0.275490
0,7,158.2383,184.9510,-262474.6902,5.241239,3.836578,-0.268002
0,8,158.2383,184.9510,262228.2714,-5.236319,-3.832976,0.268002
1,6,156.5994,184.4564,-256579.0941,5.231318,3.770544,-0.279236
1,7,156.5994,184.4564,256077.8516,-5.221099,-3.763178,0.279236
1,8,165.7434,189.6955,1266.1088,-0.023045,-0.017592,0.236589
2,6,152.0340,188.0924,-233716.5258,5.055662,3.303064,-0.346660
2,7,152.0340,188.0924,232902.4104,-5.038052,-3.291559,0.346660
2,8,196.8774,224.2034,3998.0898,-0.051574,-0.039768,0.228907
4,5,153.4098,182.7898,-365.7172,0.007770,0.005473,-0.295628
4,6,154.2668,181.2816,-45215.5567,0.949977,0.687940,-0.275835
4,7,154.2668,181.2816,48671.3862,-1.022583,-0.740519,0.275835
5,5,161.3193,188.5989,-84584.9246,1.625137,1.189007,-0.268365
5,6,161.3193,188.5989,87753.5801,-1.686017,-1.233549,0.268365
5,7,162.6092,188.0269,-38.2822,0.000724,0.000541,-0.252089
6,5,161.3193,188.5989,-84584.9246,1.625137,1.189007,-0.268365
6,6,161.3193,188.5989,87753.5801,-1.686017,-1.233549,0.268365
6,7,162.6092,188.0269,-38.2822,0.000724,0.000541,-0.252089
7,5,153.4098,182.7898,-365.7172,0.007770,0.005473,-0.295628
7,6,154.2668,181.2816,-45215.5567,0.949977,0.687940,-0.275835
7,7,154.2668,181.2816,48671.3862,-1.022583,-0.740519,0.275835
9,6,152.0340,188.0924,-233716.5258,5.055662,3.303064,-0.346660
9,7,152.0340,188.0924,232902.4104,-5.038052,-3.291559,0.346660
9,8,196.8774,224.2034,3998.0898,-0.051574,-0.039768,0.228907
10,6,156.5994,184.4564,-256579.0941,5.231318,3.770544,-0.279236
10,7,156.5994,184.4564,256077.8516,-5.221099,-3.763178,0.279236
10,8,165.7434,189.6955,1266.1088,-0.023045,-0.017592,0.236589
11,6,156.5994,184.4564,-2118.8065,0.043200,0.031137,-0.279236
11,7,156.5994,184.4564,-293.6764,0.005988,0.004316,-0.279236
11,8,165.7434,189.6955,580.3168,-0.010562,-0.008063,0.236589
12,6,155.0374,181.8102,-1393.4252,0.028986,0.021077,-0.272830
12,7,163.1188,188.1022,234.7549,-0.004411,-0.003317,0.247996
12,8,177.8464,207.4827,594.4125,-0.009397,-0.006904,0.265273
13,6,151.1262,194.3537,-648.3101,0.014193,0.008582,-0.395364
13,7,171.7638,198.5474,127.0649,-0.002153,-0.001612,0.251598
14,5,154.1963,181.2508,-61770.2431,1.298977,0.940133,-0.276251
14,6,154.2438,181.2716,65046.3389,-1.367028,-0.989768,0.275971
14,7,182.3716,213.2785,873.0111,-0.013124,-0.009596,0.268827
15,5,167.9085,195.6847,3933.8563,-0.069766,-0.051366,0.263740
15,6,169.3118,194.8184,-254.0418,0.004431,0.003347,-0.244709
15,7,199.3402,228.9872,537.9741,-0.006769,-0.005130,0.242178
16,5,173.2883,194.9074,4415.5062,-0.073521,-0.058116,0.209537
16,6,176.8875,208.6933,-368.3911,0.005887,0.004229,-0.281582
17,5,173.2883,194.9074,4415.5062,-0.073521,-0.058116,0.209537
17,6,176.8875,208.6933,-368.3911,0.005887,0.004229,-0.281582
18,5,167.9085,195.6847,3933.8563,-0.069766,-0.051366,0.263740
18,6,169.3118,194.8184,-254.0418,0.004431,0.003347,-0.244709
18,7,199.3402,228.9872,537.9741,-0.006769,-0.005130,0.242178
19,5,154.1963,181.2508,-61770.2431,1.298977,0.940133,-0.276251
19,6,154.2438,181.2716,65046.3389,-1.367028,-0.989768,0.275971
19,7,182.3716,213.2785,873.0111,-0.013124,-0.009596,0.268827
20,6,151.1262,194.3537,-648.3101,0.014193,0.008582,-0.395364
20,7,171.7638,198.5474,127.0649,-0.002153,-0.001612,0.251598
21,6,155.0374,181.8102,-1393.4252,0.028986,0.021077,-0.272830
21,7,163.1188,188.1022,234.7549,-0.004411,-0.003317,0.247996
21,8,177.8464,207.4827,594.4125,-0.009397,-0.006904,0.265273
22,6,152.0340,188.0924,-427.4082,0.009246,0.006040,-0.346660
22,7,152.0340,188.0924,-3981.9256,0.086135,0.056276,-0.346660
22,8,196.8774,224.2034,171.2561,-0.002209,-0.001703,0.228907
23,6,151.1262,194.3537,-3099.2609,0.067850,0.041024,-0.395364
23,7,171.7638,198.5474,-497.5956,0.008433,0.006311,-0.251598
24,6,158.8894,199.7630,1768.2370,-0.035020,-0.022155,0.367356
25,5,162.7111,188.0420,-1732.7255,0.032724,0.024501,-0.251271
25,6,188.4963,214.8256,3253.6170,-0.045786,-0.035250,0.230102
26,5,178.5162,207.7436,-600.3335,0.009419,0.006955,-0.261586
27,5,191.0866,218.9916,1957.2287,-0.026801,-0.020406,0.238613
28,5,191.0866,218.9916,1957.2287,-0.026801,-0.020406,0.238613
29,5,178.5162,207.7436,-600.3335,0.009419,0.006955,-0.261586
30,5,162.7111,188.0420,-1732.7255,0.032724,0.024501,-0.251271
30,6,188.4963,214.8256,3253.6170,-0.045786,-0.035250,0.230102
31,6,158.8894,199.7630,1768.2370,-0.035020,-0.022155,0.367356
32,6,151.1262,194.3537,-3099.2609,0.067850,0.041024,-0.395364
32,7,171.7638,198.5474,-497.5956,0.008433,0.006311,-0.251598
34,5,154.1963,181.2508,-96913.5509,2.038012,1.475009,-0.276251
34,6,154.2438,181.2716,98743.4529,-2.075214,-1.502516,0.275971
34,7,182.3716,213.2785,914.7356,-0.013752,-0.010055,0.268827
35,5,162.7111,188.0420,-587.8327,0.011102,0.008312,-0.251271
35,6,188.4963,214.8256,2272.0741,-0.031973,-0.024616,0.230102
42,5,162.7111,188.0420,-587.8327,0.011102,0.008312,-0.251271
42,6,188.4963,214.8256,2272.0741,-0.031973,-0.024616,0.230102
43,5,154.1963,181.2508,-96913.5509,2.038012,1.475009,-0.276251
43,6,154.2438,181.2716,98743.4529,-2.075214,-1.502516,0.275971
43,7,182.3716,213.2785,914.7356,-0.013752,-0.010055,0.268827
44,5,153.4098,182.7898,2381.2803,-0.050591,-0.035635,0.295628
44,6,154.2668,181.2816,2126.3432,-0.044674,-0.032352,0.275835
44,7,154.2668,181.2816,1838.7652,-0.038632,-0.027976,0.275835
45,5,167.9085,195.6847,4626.5986,-0.082051,-0.060411,0.263740
45,6,169.3118,194.8184,-1180.8216,0.020596,0.015556,-0.244709
45,7,199.3402,228.9872,2192.2949,-0.027585,-0.020905,0.242178
46,5,178.5162,207.7436,523.7122,-0.008217,-0.006067,0.261586
53,5,178.5162,207.7436,523.7122,-0.008217,-0.006067,0.261586
54,5,167.9085,195.6847,4626.5986,-0.082051,-0.060411,0.263740
54,6,169.3118,194.8184,-1180.8216,0.020596,0.015556,-0.244709
54,7,199.3402,228.9872,2192.2949,-0.027585,-0.020905,0.242178
55,5,161.3193,188.5989,2373.6596,-0.045605,-0.033366,0.268365
55,6,161.3193,188.5989,2194.2305,-0.042158,-0.030844,0.268365
