# sound_velocities.csv - produced by scripts/sound_velocities.py
# calc: acoustic slopes of harmonic_dispersion_<mat>.csv fitted through the
#   origin over the four smallest |q| along each direction
# densities used for literature velocities and citations:
#   SrTiO3 [pbe]: rho_calc = 4988.5 kg/m^3 (relaxed cell), rho_lit = 5110 kg/m^3; Bell and Rupprecht, Phys. Rev. 129, 90 (1963), 300 K
#   SrTiO3 [pbesol]: rho_calc = 5164.0 kg/m^3 (relaxed cell), rho_lit = 5110 kg/m^3; Bell and Rupprecht, Phys. Rev. 129, 90 (1963), 300 K
#   BaTiO3 [pbe]: rho_calc = 5937.0 kg/m^3 (relaxed cell), rho_lit = 5990 kg/m^3; Li, Chan, Grimsditch, Zouboulis, J. Appl. Phys. 70, 7327 (1991), cubic ~443 K
#   BaTiO3 [pbesol]: rho_calc = 6159.4 kg/m^3 (relaxed cell), rho_lit = 5990 kg/m^3; Li, Chan, Grimsditch, Zouboulis, J. Appl. Phys. 70, 7327 (1991), cubic ~443 K
material,functional,direction,branch,v_calc_m_s,v_lit_m_s,deviation_pct
SrTiO3,pbe,[100],TA,4656.8,4916.1,-5.27
SrTiO3,pbe,[100],TA,4656.8,4916.1,-5.27
SrTiO3,pbe,[100],LA,7915.7,7883.7,0.41
SrTiO3,pbe,[110],TA,4664.0,4587.7,1.66
SrTiO3,pbe,[110],T2A(001),4703.8,4916.1,-4.32
SrTiO3,pbe,[110],LA,7866.2,8079.2,-2.64
SrTiO3,pbe,[111],TA,4671.4,4699.7,-0.6
SrTiO3,pbe,[111],TA,4671.4,4699.7,-0.6
SrTiO3,pbe,[111],LA,7851.7,8143.4,-3.58
SrTiO3,pbesol,[100],TA,4735.4,4916.1,-3.68
SrTiO3,pbesol,[100],TA,4735.4,4916.1,-3.68
SrTiO3,pbesol,[100],LA,8206.7,7883.7,4.1
SrTiO3,pbesol,[110],TA,4893.1,4587.7,6.66
SrTiO3,pbesol,[110],T2A(001),5052.6,4916.1,2.78
SrTiO3,pbesol,[110],LA,8027.2,8079.2,-0.64
SrTiO3,pbesol,[111],TA,5095.9,4699.7,8.43
SrTiO3,pbesol,[111],TA,5095.9,4699.7,8.43
SrTiO3,pbesol,[111],LA,7974.9,8143.4,-2.07
BaTiO3,pbe,[100],TA,4471.9,4246.2,5.32
BaTiO3,pbe,[100],TA,4471.9,4246.2,5.32
BaTiO3,pbe,[100],LA,6926.7,5374.1,28.89
BaTiO3,pbe,[110],TA,3891.7,2756.1,41.21
BaTiO3,pbe,[110],T2A(001),4464.3,4246.2,5.14
BaTiO3,pbe,[110],LA,7219.7,6270.2,15.14
BaTiO3,pbe,[111],TA,4078.7,3327.8,22.57
BaTiO3,pbe,[111],TA,4078.7,3327.8,22.57
BaTiO3,pbe,[111],LA,7286.4,6541.7,11.38
BaTiO3,pbesol,[100],TA,4476.1,4246.2,5.41
BaTiO3,pbesol,[100],TA,4476.1,4246.2,5.41
BaTiO3,pbesol,[100],LA,7198.3,5374.1,33.94
BaTiO3,pbesol,[110],TA,4074.5,2756.1,47.84
BaTiO3,pbesol,[110],T2A(001),4474.6,4246.2,5.38
BaTiO3,pbesol,[110],LA,7390.0,6270.2,17.86
BaTiO3,pbesol,[111],TA,4204.3,3327.8,26.34
BaTiO3,pbesol,[111],TA,4204.3,3327.8,26.34
BaTiO3,pbesol,[111],LA,7427.7,6541.7,13.54
